ìsìπï{åß	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81
çÈã åß	"4,430"	"5,540"	"3,520"	"1,940"	"4,010"	"4,620"	"4,350"	"4,230"	"4,770"	"6,840"	"5,930"	"4,860"	"6,670"	"7,370"	"8,040"	"6,250"	"5,350"	"5,650"	"7,790"	"10,100"	"8,450"	"8,960"	"7,650"	"5,960"	"4,400"	"4,170"	"6,800"	"9,410"	"8,070"	"8,670"	"11,300"	"9,700"	"9,990"	"8,760"	"9,610"	"6,700"	"7,290"	"8,040"	"10,160"	"9,740"	"8,480"	"8,400"	"8,690"	"7,920"	"6,610"	"7,620"	"9,590"	"6,910"	"6,880"	"8,300"	"10,270"	"15,210"	"16,650"	"13,130"	"20,270"	"17,120"	"11,330"	"14,320"	"14,040"	"11,060"	"10,600"	"11,640"	"15,740"	"18,160"	"13,400"	"14,700"	"17,150"	"16,210"	"12,850"	"15,410"	"13,160"	"10,480"	"13,160"	"15,460"	"22,570"	"27,400"	"17,510"	"19,730"	"18,590"	"18,970"	"16,850"
êÁótåß	"144,580"	"155,060"	"99,920"	"59,230"	"79,160"	"100,510"	"130,730"	"139,330"	"114,760"	"142,540"	"130,780"	"133,140"	"152,200"	"121,560"	"148,490"	"182,610"	"147,530"	"159,430"	"201,620"	"188,860"	"116,530"	"127,550"	"119,500"	"128,970"	"130,070"	"136,960"	"162,690"	"172,830"	"157,410"	"183,310"	"215,790"	"204,670"	"183,940"	"173,990"	"164,340"	"162,260"	"166,060"	"165,080"	"187,750"	"270,260"	"247,040"	"260,860"	"277,830"	"220,160"	"188,610"	"254,600"	"212,410"	"216,530"	"210,110"	"283,460"	"303,210"	"356,790"	"325,350"	"320,980"	"379,550"	"323,440"	"241,620"	"272,040"	"238,810"	"245,010"	"250,350"	"291,600"	"306,260"	"345,280"	"274,020"	"309,760"	"375,110"	"284,860"	"215,630"	"253,410"	"226,870"	"211,630"	"256,040"	"253,640"	"232,650"	"353,570"	"270,090"	"312,470"	"438,630"	"300,660"	"266,430"
ìåãûìs	"655,950"	"680,590"	"343,780"	"123,980"	"233,160"	"335,230"	"461,270"	"441,990"	"524,570"	"645,080"	"589,640"	"616,590"	"587,540"	"530,280"	"686,920"	"863,250"	"677,730"	"688,480"	"775,010"	"704,430"	"655,110"	"733,770"	"675,690"	"713,550"	"572,900"	"609,660"	"823,560"	"980,470"	"821,740"	"852,360"	"935,930"	"867,160"	"773,160"	"917,430"	"860,810"	"815,760"	"818,980"	"813,280"	"989,440"	"1,422,920"	"1,100,780"	"1,040,330"	"1,218,110"	"1,071,740"	"1,016,390"	"1,319,590"	"1,157,520"	"1,226,210"	"1,109,910"	"1,220,820"	"1,454,040"	"1,764,870"	"1,484,930"	"1,437,580"	"1,624,250"	"1,606,070"	"1,368,570"	"1,597,170"	"1,381,650"	"1,510,730"	"1,304,590"	"1,312,750"	"1,538,090"	"1,837,790"	"1,522,680"	"1,499,480"	"1,706,960"	"1,425,810"	"1,391,890"	"1,592,750"	"1,397,130"	"1,530,030"	"1,388,860"	"1,187,470"	"1,546,770"	"2,089,340"	"1,660,920"	"1,524,330"	"1,809,400"	"1,515,450"	"1,491,100"
ê_ìﬁêÏåß	"61,650"	"72,860"	"38,510"	"22,370"	"38,690"	"55,030"	"64,490"	"58,750"	"59,910"	"71,430"	"67,100"	"63,820"	"61,380"	"65,930"	"75,150"	"87,550"	"74,180"	"83,930"	"92,330"	"85,540"	"78,220"	"76,350"	"79,260"	"64,730"	"54,700"	"70,540"	"86,400"	"100,160"	"88,100"	"86,590"	"111,130"	"96,200"	"104,950"	"103,890"	"95,280"	"69,520"	"80,170"	"97,270"	"115,380"	"167,920"	"119,560"	"122,740"	"139,130"	"104,610"	"111,810"	"140,260"	"125,040"	"108,630"	"106,510"	"160,720"	"174,870"	"232,870"	"178,210"	"175,990"	"222,950"	"190,680"	"160,000"	"200,780"	"190,830"	"161,910"	"147,310"	"180,280"	"194,570"	"226,050"	"172,850"	"173,220"	"223,010"	"155,290"	"176,750"	"185,680"	"174,310"	"151,260"	"156,010"	"157,390"	"185,650"	"225,060"	"205,860"	"180,250"	"218,220"	"176,520"	"170,060"
êVäÉåß	"18,670"	"14,370"	"5,500"	"2,130"	"3,220"	"3,150"	"6,660"	"6,100"	"6,450"	"9,780"	"6,560"	"8,670"	"15,350"	"12,230"	"6,990"	"5,420"	"6,640"	"4,580"	"11,140"	"6,500"	"5,460"	"7,870"	"6,270"	"8,430"	"13,270"	"15,740"	"9,820"	"7,690"	"7,200"	"6,060"	"8,390"	"6,720"	"6,040"	"9,630"	"6,460"	"9,510"	"10,080"	"16,530"	"9,510"	"8,550"	"5,840"	"8,820"	"13,470"	"9,040"	"10,880"	"11,620"	"10,590"	"20,590"	"42,980"	"48,030"	"18,470"	"13,020"	"11,620"	"10,390"	"19,150"	"20,030"	"17,670"	"15,020"	"12,520"	"33,590"	"56,490"	"49,800"	"19,080"	"13,870"	"12,230"	"12,430"	"19,470"	"11,040"	"12,720"	"20,180"	"12,480"	"27,230"	"42,130"	"53,190"	"22,620"	"18,400"	"11,720"	"10,240"	"19,970"	"14,480"	"21,070"
ïxéRåß	"1,840"	"2,820"	"1,130"	"1,870"	"7,980"	"6,430"	"3,150"	"3,730"	"3,610"	"9,620"	"6,240"	"2,740"	"3,550"	"4,950"	"3,250"	"12,840"	"15,090"	"7,710"	"7,690"	"9,080"	"6,570"	"12,070"	"7,900"	"3,310"	"3,050"	"4,720"	"3,630"	"21,620"	"24,870"	"14,340"	"10,270"	"10,720"	"11,210"	"15,670"	"11,330"	"4,860"	"3,860"	"6,100"	"6,150"	"20,700"	"24,970"	"9,060"	"9,550"	"8,600"	"11,270"	"21,900"	"14,120"	"5,780"	"7,190"	"8,180"	"7,490"	"33,800"	"35,120"	"17,780"	"16,010"	"17,170"	"14,970"	"23,640"	"18,220"	"8,230"	"9,420"	"9,360"	"10,970"	"36,320"	"39,730"	"18,600"	"13,770"	"14,280"	"14,210"	"27,060"	"20,860"	"7,700"	"14,220"	"11,740"	"11,110"	"47,030"	"43,640"	"28,000"	"18,130"	"15,850"	"15,450"
êŒêÏåß	"8,830"	"10,890"	"5,880"	"4,040"	"11,560"	"11,180"	"9,620"	"8,620"	"10,770"	"21,780"	"14,050"	"9,040"	"12,280"	"9,590"	"11,230"	"30,460"	"26,010"	"13,130"	"13,060"	"14,300"	"13,540"	"20,790"	"15,600"	"10,390"	"18,630"	"24,990"	"25,230"	"51,820"	"48,210"	"30,700"	"19,690"	"19,790"	"19,360"	"31,560"	"19,670"	"16,730"	"17,890"	"20,300"	"19,850"	"58,700"	"55,350"	"25,350"	"22,560"	"22,470"	"21,120"	"35,990"	"27,990"	"20,740"	"20,290"	"27,330"	"35,270"	"75,610"	"62,860"	"35,630"	"37,560"	"42,240"	"39,320"	"51,030"	"51,650"	"38,640"	"34,950"	"42,400"	"44,860"	"96,180"	"80,140"	"44,440"	"48,620"	"45,270"	"37,060"	"59,280"	"50,140"	"40,130"	"42,540"	"36,520"	"38,550"	"133,280"	"93,540"	"52,480"	"46,040"	"46,130"	"37,300"
ïüà‰åß	"1,530"	"1,380"	"1,960"	480	"1,620"	940	"2,310"	"5,560"	"2,120"	"2,290"	"1,900"	"1,480"	"2,080"	"2,530"	"2,660"	"4,240"	"2,080"	"1,570"	"2,110"	"2,260"	"1,880"	"2,130"	"1,650"	"1,390"	"1,020"	"1,620"	"2,150"	"3,370"	"2,960"	"3,660"	"1,730"	"1,880"	"2,720"	"3,570"	"3,620"	"2,060"	"2,440"	"2,700"	"1,540"	"3,400"	"3,690"	"1,750"	"3,690"	"2,620"	"2,330"	"2,340"	"2,750"	"2,280"	"3,120"	"4,360"	"2,880"	"7,920"	"5,650"	"3,010"	"5,490"	"5,020"	"3,440"	"6,430"	"4,930"	"3,740"	"4,500"	"6,200"	"4,480"	"8,380"	"6,070"	"2,590"	"3,370"	"2,500"	"2,520"	"4,470"	"5,200"	"4,080"	"5,420"	"5,750"	"3,890"	"8,440"	"6,230"	"8,850"	"5,140"	"2,710"	"2,920"
éRóúåß	"21,850"	"26,850"	"8,840"	"2,200"	"5,750"	"13,660"	"29,070"	"34,100"	"19,630"	"33,070"	"26,730"	"28,540"	"33,040"	"21,450"	"33,760"	"53,300"	"35,400"	"34,890"	"49,950"	"50,630"	"25,500"	"18,000"	"14,660"	"16,780"	"11,610"	"16,050"	"26,240"	"66,950"	"48,800"	"53,160"	"47,720"	"43,730"	"35,820"	"51,620"	"44,610"	"45,930"	"45,750"	"52,640"	"76,770"	"112,280"	"81,660"	"78,110"	"99,370"	"84,250"	"71,980"	"84,740"	"84,250"	"77,090"	"63,500"	"94,930"	"109,570"	"139,950"	"122,400"	"117,380"	"133,730"	"91,280"	"81,610"	"117,280"	"92,630"	"87,870"	"84,480"	"102,490"	"130,150"	"166,320"	"132,060"	"122,620"	"163,210"	"128,450"	"85,300"	"90,780"	"82,120"	"83,320"	"111,840"	"116,070"	"118,090"	"163,640"	"117,100"	"95,560"	"156,760"	"154,260"	"92,370"
í∑ñÏåß	"43,340"	"38,810"	"10,340"	"4,180"	"10,310"	"10,010"	"18,270"	"17,730"	"13,970"	"27,230"	"16,280"	"13,670"	"42,930"	"31,770"	"15,670"	"27,330"	"25,140"	"14,680"	"18,570"	"18,840"	"12,770"	"27,530"	"18,740"	"34,370"	"90,420"	"89,340"	"38,500"	"52,640"	"44,810"	"27,470"	"31,060"	"33,590"	"31,630"	"42,770"	"26,820"	"34,030"	"91,920"	"74,470"	"40,500"	"80,960"	"86,870"	"31,600"	"38,620"	"32,850"	"42,690"	"46,300"	"34,970"	"58,750"	"114,670"	"118,010"	"62,530"	"102,470"	"91,120"	"45,130"	"66,680"	"55,200"	"58,850"	"79,320"	"59,810"	"93,680"	"147,580"	"142,970"	"76,760"	"131,720"	"113,840"	"76,700"	"74,230"	"61,260"	"55,640"	"90,170"	"63,120"	"100,950"	"174,270"	"146,420"	"84,570"	"166,340"	"117,860"	"73,570"	"85,120"	"64,000"	"63,800"
äÚïååß	"10,850"	"15,180"	"6,580"	"4,440"	"7,260"	"7,130"	"14,120"	"12,550"	"11,340"	"19,100"	"13,550"	"11,980"	"18,230"	"11,910"	"13,050"	"41,540"	"32,690"	"15,680"	"18,010"	"23,300"	"14,280"	"30,480"	"23,210"	"17,710"	"14,280"	"22,460"	"22,160"	"61,180"	"54,070"	"29,530"	"31,460"	"31,580"	"30,910"	"52,510"	"37,670"	"28,930"	"26,250"	"26,060"	"28,570"	"94,370"	"75,740"	"39,580"	"40,610"	"39,490"	"35,370"	"74,770"	"61,350"	"55,530"	"41,800"	"59,230"	"61,960"	"139,300"	"104,990"	"59,590"	"69,720"	"76,060"	"60,400"	"93,630"	"76,940"	"87,080"	"81,820"	"87,560"	"82,610"	"148,220"	"100,230"	"69,140"	"78,190"	"72,100"	"55,930"	"95,520"	"72,270"	"69,900"	"86,190"	"76,880"	"59,330"	"126,710"	"87,210"	"52,750"	"68,180"	"68,050"	"49,840"
ê√â™åß	"45,900"	"51,980"	"22,810"	"6,430"	"9,350"	"18,860"	"27,760"	"26,860"	"24,720"	"33,010"	"36,580"	"29,300"	"40,660"	"29,040"	"39,030"	"58,420"	"35,550"	"42,320"	"59,810"	"63,270"	"29,910"	"34,090"	"34,480"	"27,640"	"26,030"	"34,900"	"52,350"	"53,310"	"41,450"	"39,020"	"56,750"	"59,540"	"45,220"	"53,820"	"57,860"	"39,480"	"37,550"	"42,810"	"57,790"	"80,530"	"58,830"	"55,400"	"89,100"	"81,960"	"62,340"	"81,440"	"74,290"	"64,290"	"67,330"	"111,020"	"135,960"	"195,630"	"175,670"	"181,340"	"180,280"	"171,230"	"123,550"	"153,980"	"138,420"	"105,220"	"116,700"	"135,900"	"151,920"	"180,520"	"136,260"	"138,370"	"187,840"	"144,220"	"96,730"	"110,950"	"94,210"	"76,710"	"108,760"	"108,650"	"125,360"	"120,730"	"102,500"	"103,450"	"153,790"	"151,500"	"121,700"
à§ímåß	"50,530"	"63,140"	"41,360"	"23,530"	"46,060"	"54,840"	"65,370"	"65,410"	"61,900"	"84,680"	"83,460"	"72,350"	"64,790"	"62,660"	"76,050"	"103,110"	"91,040"	"80,810"	"86,970"	"86,600"	"71,640"	"79,430"	"70,610"	"70,940"	"53,710"	"62,420"	"81,290"	"118,520"	"97,530"	"104,460"	"110,730"	"105,650"	"102,950"	"112,460"	"108,830"	"89,020"	"80,830"	"92,440"	"115,570"	"142,800"	"124,650"	"115,350"	"136,600"	"120,830"	"112,760"	"159,200"	"155,410"	"133,240"	"125,630"	"159,020"	"187,470"	"249,460"	"217,080"	"227,160"	"233,800"	"215,230"	"183,910"	"197,070"	"194,990"	"156,480"	"182,950"	"191,630"	"225,620"	"247,570"	"206,670"	"198,570"	"250,910"	"210,250"	"162,970"	"183,070"	"177,720"	"155,280"	"200,030"	"181,940"	"188,960"	"241,180"	"190,340"	"192,160"	"286,610"	"232,920"	"202,130"
éOèdåß	"8,090"	"8,860"	"4,330"	"3,250"	"5,270"	"4,950"	"5,980"	"7,520"	"6,290"	"16,670"	"11,090"	"8,680"	"10,590"	"5,490"	"7,570"	"7,610"	"4,870"	"5,560"	"7,410"	"6,690"	"7,030"	"18,230"	"8,250"	"5,370"	"5,170"	"8,330"	"11,500"	"13,670"	"10,280"	"9,890"	"9,580"	"8,890"	"12,790"	"21,940"	"11,400"	"7,470"	"11,640"	"11,500"	"17,770"	"13,850"	"12,840"	"11,530"	"12,590"	"10,320"	"16,010"	"24,230"	"21,410"	"14,840"	"13,150"	"18,710"	"26,200"	"33,460"	"30,670"	"24,500"	"40,380"	"31,390"	"43,310"	"42,680"	"50,280"	"37,020"	"27,030"	"31,630"	"33,870"	"44,990"	"32,130"	"24,180"	"30,110"	"27,900"	"22,420"	"34,900"	"21,820"	"20,880"	"15,470"	"14,830"	"21,830"	"32,810"	"19,830"	"19,980"	"23,360"	"26,160"	"18,600"
é†âÍåß	"5,850"	"7,050"	"5,050"	"3,590"	"5,790"	"5,680"	"8,880"	"7,450"	"5,560"	"9,450"	"12,560"	"8,820"	"6,920"	"6,510"	"9,300"	"15,470"	"7,900"	"7,360"	"8,380"	"6,350"	"7,220"	"14,010"	"14,830"	"9,750"	"5,350"	"6,820"	"10,300"	"12,850"	"9,870"	"6,160"	"11,430"	"9,680"	"11,600"	"15,810"	"19,910"	"12,120"	"8,410"	"12,280"	"21,060"	"40,580"	"21,550"	"16,750"	"16,520"	"14,870"	"15,040"	"21,170"	"26,750"	"15,770"	"13,980"	"20,520"	"40,280"	"68,790"	"45,200"	"37,380"	"36,990"	"38,580"	"32,300"	"52,240"	"55,970"	"35,000"	"29,250"	"39,830"	"54,060"	"69,820"	"43,130"	"35,580"	"40,960"	"34,130"	"28,580"	"37,730"	"39,430"	"28,240"	"23,800"	"28,350"	"38,580"	"56,520"	"29,730"	"29,730"	"29,850"	"22,100"	"22,250"
ãûìsï{	"89,560"	"81,640"	"69,220"	"44,280"	"51,490"	"73,820"	"116,420"	"93,510"	"90,900"	"122,610"	"115,850"	"103,450"	"87,190"	"66,010"	"118,060"	"279,980"	"192,940"	"192,530"	"226,950"	"215,820"	"208,630"	"262,200"	"246,610"	"208,250"	"106,520"	"116,890"	"198,160"	"326,240"	"251,120"	"244,620"	"247,100"	"251,920"	"226,660"	"264,970"	"213,180"	"178,520"	"162,970"	"159,710"	"248,810"	"429,120"	"285,680"	"247,700"	"322,050"	"313,350"	"266,510"	"330,910"	"269,510"	"254,720"	"196,140"	"261,730"	"330,140"	"475,940"	"384,680"	"382,000"	"500,010"	"489,910"	"410,060"	"466,650"	"343,720"	"337,700"	"284,260"	"324,200"	"373,490"	"531,410"	"365,240"	"421,260"	"453,910"	"443,080"	"368,800"	"412,270"	"315,700"	"309,200"	"374,060"	"323,110"	"455,120"	"689,600"	"511,310"	"439,620"	"520,620"	"504,560"	"451,190"
ëÂç„ï{	"232,320"	"242,080"	"187,220"	"83,390"	"107,950"	"164,620"	"245,490"	"219,210"	"196,890"	"224,870"	"237,850"	"223,520"	"228,610"	"174,210"	"222,020"	"366,680"	"243,600"	"249,160"	"307,900"	"280,600"	"201,320"	"252,620"	"274,710"	"259,420"	"221,740"	"273,280"	"314,840"	"459,890"	"346,360"	"398,650"	"442,920"	"396,810"	"347,060"	"372,850"	"379,460"	"360,640"	"375,440"	"415,620"	"446,460"	"645,790"	"505,550"	"515,300"	"569,100"	"528,750"	"463,940"	"591,190"	"563,810"	"579,200"	"549,260"	"630,480"	"672,850"	"861,920"	"755,820"	"766,450"	"888,560"	"793,470"	"696,220"	"813,850"	"755,390"	"781,410"	"795,320"	"838,650"	"786,000"	"947,480"	"801,360"	"867,450"	"1,020,000"	"848,210"	"749,000"	"827,480"	"777,810"	"750,080"	"917,840"	"824,150"	"863,190"	"1,192,730"	"962,430"	"1,060,970"	"1,101,400"	"988,540"	"881,870"
